File,Size
csm_rand_926.c.out,3030
csm_rand_336.c.out,3026
csm_rand_107.c.out,2996
csm_rand_469.c.out,2979
csm_rand_116.c.out,2958
csm_rand_892.c.out,2950
csm_rand_50.c.out,2950
csm_rand_582.c.out,2942
csm_rand_593.c.out,2882
csm_rand_806.c.out,2874
csm_rand_242.c.out,2874
csm_rand_119.c.out,2850
csm_rand_664.c.out,2847
csm_rand_385.c.out,2843
csm_rand_124.c.out,2841
csm_rand_555.c.out,2835
csm_rand_440.c.out,2835
csm_rand_704.c.out,2830
csm_rand_897.c.out,2827
csm_rand_486.c.out,2820
csm_rand_567.c.out,2815
csm_rand_95.c.out,2811
csm_rand_354.c.out,2795
csm_rand_355.c.out,2792
csm_rand_986.c.out,2783
csm_rand_970.c.out,2783
csm_rand_520.c.out,2773
csm_rand_517.c.out,2772
csm_rand_796.c.out,2763
csm_rand_689.c.out,2744
csm_rand_720.c.out,2728
csm_rand_538.c.out,2718
csm_rand_924.c.out,2710
csm_rand_551.c.out,2709
csm_rand_698.c.out,2703
csm_rand_365.c.out,2682
csm_rand_683.c.out,2680
csm_rand_839.c.out,2677
csm_rand_368.c.out,2676
csm_rand_533.c.out,2660
csm_rand_903.c.out,2652
csm_rand_410.c.out,2636
csm_rand_264.c.out,2624
csm_rand_187.c.out,2619
csm_rand_575.c.out,2602
csm_rand_113.c.out,2600
csm_rand_758.c.out,2586
csm_rand_921.c.out,2580
csm_rand_910.c.out,2580
csm_rand_789.c.out,2579
csm_rand_53.c.out,2571
csm_rand_288.c.out,2535
csm_rand_991.c.out,2534
csm_rand_882.c.out,2531
csm_rand_640.c.out,2527
csm_rand_601.c.out,2524
csm_rand_370.c.out,2519
csm_rand_607.c.out,2511
csm_rand_834.c.out,2510
